Operacja: rownowazenie; Typ: descending; n: 8000; Czas: 1.1921 ms;
Operacja: rownowazenie; Typ: descending; n: 8000; Czas: 1.2869 ms;
Operacja: rownowazenie; Typ: descending; n: 8000; Czas: 1.5853 ms;
Operacja: rownowazenie; Typ: descending; n: 8000; Czas: 1.4653 ms;
Operacja: rownowazenie; Typ: descending; n: 8000; Czas: 2.2817 ms;
Operacja: rownowazenie; Typ: descending; n: 8000; Czas: 1.4017 ms;
Operacja: rownowazenie; Typ: descending; n: 16000; Czas: 2.7036 ms;
Operacja: rownowazenie; Typ: descending; n: 16000; Czas: 2.3625 ms;
Operacja: rownowazenie; Typ: descending; n: 16000; Czas: 3.0380 ms;
Operacja: rownowazenie; Typ: descending; n: 16000; Czas: 3.0363 ms;
Operacja: rownowazenie; Typ: descending; n: 16000; Czas: 3.6894 ms;
Operacja: rownowazenie; Typ: descending; n: 16000; Czas: 2.7270 ms;
Operacja: rownowazenie; Typ: descending; n: 16000; Czas: 5.8447 ms;
Operacja: rownowazenie; Typ: descending; n: 16000; Czas: 4.2277 ms;
Operacja: rownowazenie; Typ: descending; n: 16000; Czas: 3.4478 ms;
Operacja: rownowazenie; Typ: descending; n: 16000; Czas: 3.3808 ms;
Operacja: rownowazenie; Typ: descending; n: 32000; Czas: 7.1955 ms;
Operacja: rownowazenie; Typ: descending; n: 32000; Czas: 7.3074 ms;
Operacja: rownowazenie; Typ: descending; n: 32000; Czas: 8.5617 ms;
Operacja: rownowazenie; Typ: descending; n: 32000; Czas: 7.7930 ms;
Operacja: rownowazenie; Typ: descending; n: 32000; Czas: 8.6370 ms;
Operacja: rownowazenie; Typ: descending; n: 32000; Czas: 9.8254 ms;
Operacja: rownowazenie; Typ: descending; n: 32000; Czas: 6.8663 ms;
Operacja: rownowazenie; Typ: descending; n: 32000; Czas: 5.3264 ms;
Operacja: rownowazenie; Typ: descending; n: 32000; Czas: 5.1518 ms;
Operacja: rownowazenie; Typ: descending; n: 32000; Czas: 6.5664 ms;
