Operacja: DEC; Typ: skierowany; n: 100; Nasycenie: 0.40; Czas: 0.0410 ms;
Operacja: DEC; Typ: nieskierowany; n: 100; Nasycenie: 0.50; Czas: 0.0325 ms;
Operacja: DEC; Typ: nieskierowany; n: 100; Nasycenie: 0.50; Czas: 0.0126 ms;
Operacja: DEC; Typ: nieskierowany; n: 100; Nasycenie: 0.50; Czas: 0.0223 ms;
Operacja: DEC; Typ: nieskierowany; n: 100; Nasycenie: 0.50; Czas: 0.0857 ms;
Operacja: DEC; Typ: nieskierowany; n: 100; Nasycenie: 0.50; Czas: 0.0128 ms;
Operacja: DEC; Typ: nieskierowany; n: 100; Nasycenie: 0.50; Czas: 0.0520 ms;
Operacja: DEC; Typ: nieskierowany; n: 100; Nasycenie: 0.50; Czas: 0.0131 ms;
Operacja: DEC; Typ: nieskierowany; n: 100; Nasycenie: 0.50; Czas: 0.0130 ms;
Operacja: DEC; Typ: nieskierowany; n: 100; Nasycenie: 0.50; Czas: 0.0222 ms;
Operacja: DEC; Typ: nieskierowany; n: 100; Nasycenie: 0.50; Czas: 0.0714 ms;
Operacja: DEC; Typ: skierowany; n: 100; Nasycenie: 0.50; Czas: 0.0436 ms;
Operacja: DEC; Typ: skierowany; n: 100; Nasycenie: 0.50; Czas: 0.0447 ms;
Operacja: DEC; Typ: skierowany; n: 100; Nasycenie: 0.50; Czas: 0.0442 ms;
Operacja: DEC; Typ: skierowany; n: 100; Nasycenie: 0.50; Czas: 0.0418 ms;
Operacja: DEC; Typ: skierowany; n: 100; Nasycenie: 0.50; Czas: 0.0434 ms;
Operacja: DEC; Typ: skierowany; n: 100; Nasycenie: 0.50; Czas: 0.0426 ms;
Operacja: DEC; Typ: skierowany; n: 100; Nasycenie: 0.50; Czas: 0.0444 ms;
Operacja: DEC; Typ: skierowany; n: 100; Nasycenie: 0.50; Czas: 0.0433 ms;
Operacja: DEC; Typ: skierowany; n: 100; Nasycenie: 0.50; Czas: 0.0436 ms;
