Operacja: SEC; Typ: nieskierowany; n: 20; Nasycenie: 0.70; Czas: 0.2841 ms; Backtracki: 6;
Operacja: SEC; Typ: nieskierowany; n: 20; Nasycenie: 0.70; Czas: 0.2760 ms; Backtracki: 6;
Operacja: SEC; Typ: nieskierowany; n: 20; Nasycenie: 0.70; Czas: 0.2857 ms; Backtracki: 6;
Operacja: SEC; Typ: nieskierowany; n: 20; Nasycenie: 0.70; Czas: 0.2782 ms; Backtracki: 5;
Operacja: SEC; Typ: nieskierowany; n: 20; Nasycenie: 0.70; Czas: 0.2925 ms; Backtracki: 6;
Operacja: SEC; Typ: nieskierowany; n: 20; Nasycenie: 0.70; Czas: 0.2642 ms; Backtracki: 7;
Operacja: SEC; Typ: nieskierowany; n: 20; Nasycenie: 0.70; Czas: 0.2868 ms; Backtracki: 7;
Operacja: SEC; Typ: nieskierowany; n: 20; Nasycenie: 0.70; Czas: 0.2490 ms; Backtracki: 6;
Operacja: SEC; Typ: skierowany; n: 20; Nasycenie: 0.70; Czas: 0.7166 ms; Backtracki: 12;
Operacja: SEC; Typ: skierowany; n: 20; Nasycenie: 0.70; Czas: 0.7240 ms; Backtracki: 13;
Operacja: SEC; Typ: skierowany; n: 20; Nasycenie: 0.70; Czas: 0.6896 ms; Backtracki: 13;
Operacja: SEC; Typ: skierowany; n: 20; Nasycenie: 0.70; Czas: 0.7794 ms; Backtracki: 13;
Operacja: SEC; Typ: skierowany; n: 20; Nasycenie: 0.70; Czas: 0.8061 ms; Backtracki: 14;
Operacja: SEC; Typ: skierowany; n: 20; Nasycenie: 0.70; Czas: 0.7323 ms; Backtracki: 13;
Operacja: SEC; Typ: skierowany; n: 20; Nasycenie: 0.70; Czas: 0.7055 ms; Backtracki: 11;
Operacja: SEC; Typ: skierowany; n: 20; Nasycenie: 0.70; Czas: 0.7150 ms; Backtracki: 12;
Operacja: SEC; Typ: skierowany; n: 20; Nasycenie: 0.70; Czas: 0.7192 ms; Backtracki: 13;
Operacja: SEC; Typ: skierowany; n: 20; Nasycenie: 0.70; Czas: 0.6856 ms; Backtracki: 11;
Operacja: SEC; Typ: nieskierowany; n: 20; Nasycenie: 0.80; Czas: 0.2705 ms; Backtracki: 6;
Operacja: SEC; Typ: nieskierowany; n: 20; Nasycenie: 0.80; Czas: 0.2663 ms; Backtracki: 5;
Operacja: SEC; Typ: nieskierowany; n: 20; Nasycenie: 0.80; Czas: 0.2454 ms; Backtracki: 5;
Operacja: SEC; Typ: nieskierowany; n: 20; Nasycenie: 0.80; Czas: 0.2461 ms; Backtracki: 6;
Operacja: SEC; Typ: nieskierowany; n: 20; Nasycenie: 0.80; Czas: 0.2768 ms; Backtracki: 6;
Operacja: SEC; Typ: nieskierowany; n: 20; Nasycenie: 0.80; Czas: 0.3255 ms; Backtracki: 7;
Operacja: SEC; Typ: nieskierowany; n: 20; Nasycenie: 0.80; Czas: 0.3031 ms; Backtracki: 7;
Operacja: SEC; Typ: nieskierowany; n: 20; Nasycenie: 0.80; Czas: 0.2466 ms; Backtracki: 6;
Operacja: SEC; Typ: nieskierowany; n: 20; Nasycenie: 0.80; Czas: 0.2617 ms; Backtracki: 5;
Operacja: SEC; Typ: nieskierowany; n: 20; Nasycenie: 0.80; Czas: 0.2718 ms; Backtracki: 5;
Operacja: SEC; Typ: skierowany; n: 20; Nasycenie: 0.80; Czas: 0.8709 ms; Backtracki: 20;
Operacja: SEC; Typ: skierowany; n: 20; Nasycenie: 0.80; Czas: 0.8984 ms; Backtracki: 13;
Operacja: SEC; Typ: skierowany; n: 20; Nasycenie: 0.80; Czas: 0.8402 ms; Backtracki: 29;
Operacja: SEC; Typ: skierowany; n: 20; Nasycenie: 0.80; Czas: 0.8590 ms; Backtracki: 14;
