Operacja: SHC; Typ: nieskierowany; n: 6; Nasycenie: 0.50; Czas: 0.0093 ms; Backtracki: 5;
Operacja: SHC; Typ: skierowany; n: 6; Nasycenie: 0.50; Czas: 0.0080 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 6; Nasycenie: 0.50; Czas: 0.0127 ms; Backtracki: 4;
Operacja: SHC; Typ: skierowany; n: 6; Nasycenie: 0.50; Czas: 0.0191 ms; Backtracki: 10;
Operacja: SHC; Typ: skierowany; n: 6; Nasycenie: 0.50; Czas: 0.0072 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 6; Nasycenie: 0.50; Czas: 0.0070 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 6; Nasycenie: 0.50; Czas: 0.0116 ms; Backtracki: 3;
Operacja: SHC; Typ: skierowany; n: 6; Nasycenie: 0.50; Czas: 0.0117 ms; Backtracki: 4;
Operacja: SHC; Typ: skierowany; n: 6; Nasycenie: 0.50; Czas: 0.0084 ms; Backtracki: 1;
Operacja: SHC; Typ: skierowany; n: 6; Nasycenie: 0.50; Czas: 0.0070 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 6; Nasycenie: 0.50; Czas: 0.0163 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 6; Nasycenie: 0.60; Czas: 0.0067 ms; Backtracki: 2;
Operacja: SHC; Typ: nieskierowany; n: 6; Nasycenie: 0.60; Czas: 0.0080 ms; Backtracki: 3;
Operacja: SHC; Typ: nieskierowany; n: 6; Nasycenie: 0.60; Czas: 0.0105 ms; Backtracki: 7;
Operacja: SHC; Typ: nieskierowany; n: 6; Nasycenie: 0.60; Czas: 0.0074 ms; Backtracki: 3;
Operacja: SHC; Typ: nieskierowany; n: 6; Nasycenie: 0.60; Czas: 0.0164 ms; Backtracki: 12;
Operacja: SHC; Typ: nieskierowany; n: 6; Nasycenie: 0.60; Czas: 0.0051 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 6; Nasycenie: 0.60; Czas: 0.0051 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 6; Nasycenie: 0.60; Czas: 0.0047 ms; Backtracki: 0;
