Operacja: DHC; Typ: nieskierowany; n: 2; Nasycenie: 0.90; Czas: 0.0002 ms;
Operacja: DHC; Typ: nieskierowany; n: 2; Nasycenie: 0.90; Czas: 0.0002 ms;
Operacja: DHC; Typ: nieskierowany; n: 2; Nasycenie: 0.90; Czas: 0.0002 ms;
Operacja: DHC; Typ: nieskierowany; n: 2; Nasycenie: 0.90; Czas: 0.0002 ms;
Operacja: DHC; Typ: nieskierowany; n: 2; Nasycenie: 0.90; Czas: 0.0001 ms;
Operacja: DHC; Typ: nieskierowany; n: 2; Nasycenie: 0.90; Czas: 0.0002 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.90; Czas: 0.0002 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.90; Czas: 0.0002 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.90; Czas: 0.0002 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.90; Czas: 0.0002 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.90; Czas: 0.0002 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.90; Czas: 0.0002 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.90; Czas: 0.0003 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.90; Czas: 0.0003 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.90; Czas: 0.0002 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.90; Czas: 0.0002 ms;
Operacja: DHC; Typ: nieskierowany; n: 4; Nasycenie: 0.10; Czas: 0.0118 ms;
Operacja: DHC; Typ: nieskierowany; n: 4; Nasycenie: 0.10; Czas: 0.0067 ms;
Operacja: DHC; Typ: nieskierowany; n: 4; Nasycenie: 0.10; Czas: 0.0041 ms;
Operacja: DHC; Typ: nieskierowany; n: 4; Nasycenie: 0.10; Czas: 0.0036 ms;
Operacja: DHC; Typ: nieskierowany; n: 4; Nasycenie: 0.10; Czas: 0.0036 ms;
Operacja: DHC; Typ: nieskierowany; n: 4; Nasycenie: 0.10; Czas: 0.0033 ms;
Operacja: DHC; Typ: nieskierowany; n: 4; Nasycenie: 0.10; Czas: 0.0033 ms;
Operacja: DHC; Typ: nieskierowany; n: 4; Nasycenie: 0.10; Czas: 0.0034 ms;
Operacja: DHC; Typ: nieskierowany; n: 4; Nasycenie: 0.10; Czas: 0.0033 ms;
Operacja: DHC; Typ: nieskierowany; n: 4; Nasycenie: 0.10; Czas: 0.0033 ms;
Operacja: DHC; Typ: skierowany; n: 4; Nasycenie: 0.10; Czas: 0.0094 ms;
Operacja: DHC; Typ: skierowany; n: 4; Nasycenie: 0.10; Czas: 0.0073 ms;
Operacja: DHC; Typ: skierowany; n: 4; Nasycenie: 0.10; Czas: 0.0048 ms;
Operacja: DHC; Typ: skierowany; n: 4; Nasycenie: 0.10; Czas: 0.0049 ms;
Operacja: DHC; Typ: skierowany; n: 4; Nasycenie: 0.10; Czas: 0.0047 ms;
Operacja: DHC; Typ: skierowany; n: 4; Nasycenie: 0.10; Czas: 0.0047 ms;
Operacja: DHC; Typ: skierowany; n: 4; Nasycenie: 0.10; Czas: 0.0046 ms;
Operacja: DHC; Typ: skierowany; n: 4; Nasycenie: 0.10; Czas: 0.0047 ms;
Operacja: DHC; Typ: skierowany; n: 4; Nasycenie: 0.10; Czas: 0.0043 ms;
Operacja: DHC; Typ: skierowany; n: 4; Nasycenie: 0.10; Czas: 0.0047 ms;
Operacja: DHC; Typ: nieskierowany; n: 4; Nasycenie: 0.20; Czas: 0.0047 ms;
Operacja: DHC; Typ: nieskierowany; n: 4; Nasycenie: 0.20; Czas: 0.0051 ms;
Operacja: DHC; Typ: nieskierowany; n: 4; Nasycenie: 0.20; Czas: 0.0060 ms;
Operacja: DHC; Typ: nieskierowany; n: 4; Nasycenie: 0.20; Czas: 0.0041 ms;
Operacja: DHC; Typ: nieskierowany; n: 4; Nasycenie: 0.20; Czas: 0.0037 ms;
Operacja: DHC; Typ: nieskierowany; n: 4; Nasycenie: 0.20; Czas: 0.0037 ms;
Operacja: DHC; Typ: nieskierowany; n: 4; Nasycenie: 0.20; Czas: 0.0037 ms;
Operacja: DHC; Typ: nieskierowany; n: 4; Nasycenie: 0.20; Czas: 0.0036 ms;
Operacja: DHC; Typ: nieskierowany; n: 4; Nasycenie: 0.20; Czas: 0.0037 ms;
Operacja: DHC; Typ: nieskierowany; n: 4; Nasycenie: 0.20; Czas: 0.0035 ms;
Operacja: DHC; Typ: skierowany; n: 4; Nasycenie: 0.20; Czas: 0.0050 ms;
Operacja: DHC; Typ: skierowany; n: 4; Nasycenie: 0.20; Czas: 0.0045 ms;
Operacja: DHC; Typ: skierowany; n: 4; Nasycenie: 0.20; Czas: 0.0064 ms;
Operacja: DHC; Typ: skierowany; n: 4; Nasycenie: 0.20; Czas: 0.0047 ms;
Operacja: DHC; Typ: skierowany; n: 4; Nasycenie: 0.20; Czas: 0.0047 ms;
Operacja: DHC; Typ: skierowany; n: 4; Nasycenie: 0.20; Czas: 0.0063 ms;
Operacja: DHC; Typ: skierowany; n: 4; Nasycenie: 0.20; Czas: 0.0055 ms;
Operacja: DHC; Typ: skierowany; n: 4; Nasycenie: 0.20; Czas: 0.0047 ms;
Operacja: DHC; Typ: skierowany; n: 4; Nasycenie: 0.20; Czas: 0.0045 ms;
Operacja: DHC; Typ: skierowany; n: 4; Nasycenie: 0.20; Czas: 0.0047 ms;
Operacja: DHC; Typ: nieskierowany; n: 4; Nasycenie: 0.30; Czas: 0.0038 ms;
